snapshot,zona,demand_mw
2026-08-22 00:00:00,BCA,2997.0
2026-08-22 01:00:00,BCA,2860.0
2026-08-22 02:00:00,BCA,2724.0
2026-08-22 03:00:00,BCA,2624.0
2026-08-22 04:00:00,BCA,2533.0
2026-08-22 05:00:00,BCA,2456.0
2026-08-22 06:00:00,BCA,2378.0
2026-08-22 07:00:00,BCA,2348.0
2026-08-22 08:00:00,BCA,2451.0
2026-08-22 09:00:00,BCA,2640.0
2026-08-22 10:00:00,BCA,2854.0
2026-08-22 11:00:00,BCA,3073.0
2026-08-22 12:00:00,BCA,3225.0
2026-08-22 13:00:00,BCA,3372.0
2026-08-22 14:00:00,BCA,3445.0
2026-08-22 15:00:00,BCA,3495.0
2026-08-22 16:00:00,BCA,3489.0
2026-08-22 17:00:00,BCA,3500.0
2026-08-22 18:00:00,BCA,3421.0
2026-08-22 19:00:00,BCA,3368.0
2026-08-22 20:00:00,BCA,3335.0
2026-08-22 21:00:00,BCA,3290.0
2026-08-22 22:00:00,BCA,3175.0
2026-08-22 00:00:00,BCS,650.0
2026-08-22 01:00:00,BCS,630.0
2026-08-22 02:00:00,BCS,613.0
2026-08-22 03:00:00,BCS,587.0
2026-08-22 04:00:00,BCS,567.0
2026-08-22 05:00:00,BCS,548.0
2026-08-22 06:00:00,BCS,530.0
2026-08-22 07:00:00,BCS,513.0
2026-08-22 08:00:00,BCS,531.0
2026-08-22 09:00:00,BCS,562.0
2026-08-22 10:00:00,BCS,581.0
2026-08-22 11:00:00,BCS,607.0
2026-08-22 12:00:00,BCS,629.0
2026-08-22 13:00:00,BCS,648.0
2026-08-22 14:00:00,BCS,669.0
2026-08-22 15:00:00,BCS,681.0
2026-08-22 16:00:00,BCS,688.0
2026-08-22 17:00:00,BCS,692.0
2026-08-22 18:00:00,BCS,683.0
2026-08-22 19:00:00,BCS,664.0
2026-08-22 20:00:00,BCS,665.0
2026-08-22 21:00:00,BCS,664.0
2026-08-22 22:00:00,BCS,657.0
2026-08-22 00:00:00,SIN,47742.0
2026-08-22 01:00:00,SIN,46054.0
2026-08-22 02:00:00,SIN,44601.0
2026-08-22 03:00:00,SIN,43361.0
2026-08-22 04:00:00,SIN,42550.0
2026-08-22 05:00:00,SIN,41886.0
2026-08-22 06:00:00,SIN,40965.0
2026-08-22 07:00:00,SIN,41061.0
2026-08-22 08:00:00,SIN,42339.0
2026-08-22 09:00:00,SIN,42950.0
2026-08-22 10:00:00,SIN,43498.0
2026-08-22 11:00:00,SIN,44295.0
2026-08-22 12:00:00,SIN,45137.0
2026-08-22 13:00:00,SIN,45773.0
2026-08-22 14:00:00,SIN,46185.0
2026-08-22 15:00:00,SIN,47179.0
2026-08-22 16:00:00,SIN,48098.0
2026-08-22 17:00:00,SIN,48269.0
2026-08-22 18:00:00,SIN,48583.0
2026-08-22 19:00:00,SIN,49307.0
2026-08-22 20:00:00,SIN,49402.0
2026-08-22 21:00:00,SIN,48712.0
2026-08-22 22:00:00,SIN,47321.0
