snapshot,zona,demand_mw
2026-08-13 00:00:00,BCA,2912.0
2026-08-13 01:00:00,BCA,2769.0
2026-08-13 02:00:00,BCA,2650.0
2026-08-13 03:00:00,BCA,2563.0
2026-08-13 04:00:00,BCA,2489.0
2026-08-13 05:00:00,BCA,2444.0
2026-08-13 06:00:00,BCA,2429.0
2026-08-13 07:00:00,BCA,2483.0
2026-08-13 08:00:00,BCA,2660.0
2026-08-13 09:00:00,BCA,2835.0
2026-08-13 10:00:00,BCA,2991.0
2026-08-13 11:00:00,BCA,3112.0
2026-08-13 12:00:00,BCA,3255.0
2026-08-13 13:00:00,BCA,3346.0
2026-08-13 14:00:00,BCA,3436.0
2026-08-13 15:00:00,BCA,3491.0
2026-08-13 16:00:00,BCA,3490.0
2026-08-13 17:00:00,BCA,3203.0
2026-08-13 18:00:00,BCA,2963.0
2026-08-13 19:00:00,BCA,2994.0
2026-08-13 20:00:00,BCA,2997.0
2026-08-13 21:00:00,BCA,3014.0
2026-08-13 22:00:00,BCA,2962.0
2026-08-13 00:00:00,BCS,587.0
2026-08-13 01:00:00,BCS,566.0
2026-08-13 02:00:00,BCS,541.0
2026-08-13 03:00:00,BCS,517.0
2026-08-13 04:00:00,BCS,497.0
2026-08-13 05:00:00,BCS,480.0
2026-08-13 06:00:00,BCS,466.0
2026-08-13 07:00:00,BCS,455.0
2026-08-13 08:00:00,BCS,480.0
2026-08-13 09:00:00,BCS,515.0
2026-08-13 10:00:00,BCS,547.0
2026-08-13 11:00:00,BCS,571.0
2026-08-13 12:00:00,BCS,593.0
2026-08-13 13:00:00,BCS,613.0
2026-08-13 14:00:00,BCS,636.0
2026-08-13 15:00:00,BCS,642.0
2026-08-13 16:00:00,BCS,638.0
2026-08-13 17:00:00,BCS,644.0
2026-08-13 18:00:00,BCS,646.0
2026-08-13 19:00:00,BCS,632.0
2026-08-13 20:00:00,BCS,637.0
2026-08-13 21:00:00,BCS,643.0
2026-08-13 22:00:00,BCS,641.0
2026-08-13 23:00:00,BCS,635.0
2026-08-13 00:00:00,SIN,45755.0
2026-08-13 01:00:00,SIN,44096.0
2026-08-13 02:00:00,SIN,42819.0
2026-08-13 03:00:00,SIN,41633.0
2026-08-13 04:00:00,SIN,40751.0
2026-08-13 05:00:00,SIN,40532.0
2026-08-13 06:00:00,SIN,40324.0
2026-08-13 07:00:00,SIN,41387.0
2026-08-13 08:00:00,SIN,42601.0
2026-08-13 09:00:00,SIN,43619.0
2026-08-13 10:00:00,SIN,44410.0
2026-08-13 11:00:00,SIN,45382.0
2026-08-13 12:00:00,SIN,46373.0
2026-08-13 13:00:00,SIN,47414.0
2026-08-13 14:00:00,SIN,48532.0
2026-08-13 15:00:00,SIN,49773.0
2026-08-13 16:00:00,SIN,50483.0
2026-08-13 17:00:00,SIN,50412.0
2026-08-13 18:00:00,SIN,49924.0
2026-08-13 19:00:00,SIN,50461.0
2026-08-13 20:00:00,SIN,50937.0
2026-08-13 21:00:00,SIN,50384.0
2026-08-13 22:00:00,SIN,49471.0
2026-08-13 23:00:00,SIN,48691.0
