snapshot,zona,demand_mw
2026-03-01 00:00:00,BCA,1269.84
2026-03-01 01:00:00,BCA,1223.48
2026-03-01 02:00:00,BCA,1191.22
2026-03-01 03:00:00,BCA,1173.62
2026-03-01 04:00:00,BCA,1166.17
2026-03-01 05:00:00,BCA,1166.53
2026-03-01 06:00:00,BCA,1167.42
2026-03-01 07:00:00,BCA,1176.2
2026-03-01 08:00:00,BCA,1211.33
2026-03-01 09:00:00,BCA,1243.5
2026-03-01 10:00:00,BCA,1270.15
2026-03-01 11:00:00,BCA,1291.86
2026-03-01 12:00:00,BCA,1306.89
2026-03-01 13:00:00,BCA,1323.46
2026-03-01 14:00:00,BCA,1335.59
2026-03-01 15:00:00,BCA,1355.96
2026-03-01 16:00:00,BCA,1379.72
2026-03-01 17:00:00,BCA,1448.77
2026-03-01 18:00:00,BCA,1493.59
2026-03-01 19:00:00,BCA,1491.25
2026-03-01 20:00:00,BCA,1470.82
2026-03-01 21:00:00,BCA,1420.62
2026-03-01 22:00:00,BCA,1345.85
2026-03-01 23:00:00,BCA,1268.51
2026-03-01 00:00:00,BCS,278.61
2026-03-01 01:00:00,BCS,267.34
2026-03-01 02:00:00,BCS,257.45
2026-03-01 03:00:00,BCS,252.59
2026-03-01 04:00:00,BCS,251.53
2026-03-01 05:00:00,BCS,255.47
2026-03-01 06:00:00,BCS,262.21
2026-03-01 07:00:00,BCS,271.62
2026-03-01 08:00:00,BCS,288.83
2026-03-01 09:00:00,BCS,303.23
2026-03-01 10:00:00,BCS,312.25
2026-03-01 11:00:00,BCS,317.01
2026-03-01 12:00:00,BCS,320.84
2026-03-01 13:00:00,BCS,326.45
2026-03-01 14:00:00,BCS,329.91
2026-03-01 15:00:00,BCS,334.16
2026-03-01 16:00:00,BCS,336.54
2026-03-01 17:00:00,BCS,335.74
2026-03-01 18:00:00,BCS,346.62
2026-03-01 19:00:00,BCS,347.23
2026-03-01 20:00:00,BCS,341.11
2026-03-01 21:00:00,BCS,328.76
2026-03-01 22:00:00,BCS,307.65
2026-03-01 23:00:00,BCS,285.26
2026-03-01 00:00:00,SIN,31469.17
2026-03-01 01:00:00,SIN,30219.43
2026-03-01 02:00:00,SIN,29279.64
2026-03-01 03:00:00,SIN,28732.85
2026-03-01 04:00:00,SIN,28372.3
2026-03-01 05:00:00,SIN,28291.98
2026-03-01 06:00:00,SIN,28362.76
2026-03-01 07:00:00,SIN,28223.71
2026-03-01 08:00:00,SIN,28374.84
2026-03-01 09:00:00,SIN,28600.15
2026-03-01 10:00:00,SIN,28698.34
2026-03-01 11:00:00,SIN,28665.62
2026-03-01 12:00:00,SIN,28739.55
2026-03-01 13:00:00,SIN,28976.87
2026-03-01 14:00:00,SIN,29234.57
2026-03-01 15:00:00,SIN,29706.38
2026-03-01 16:00:00,SIN,30575.14
2026-03-01 17:00:00,SIN,31607.62
2026-03-01 18:00:00,SIN,33411.08
2026-03-01 19:00:00,SIN,35049.91
2026-03-01 20:00:00,SIN,35111.3
2026-03-01 21:00:00,SIN,34445.68
2026-03-01 22:00:00,SIN,33158.08
2026-03-01 23:00:00,SIN,31455.87
