snapshot,zona,demand_mw
2026-08-18 00:00:00,BCA,2967.0
2026-08-18 01:00:00,BCA,2822.0
2026-08-18 02:00:00,BCA,2689.0
2026-08-18 03:00:00,BCA,2587.0
2026-08-18 04:00:00,BCA,2507.0
2026-08-18 05:00:00,BCA,2456.0
2026-08-18 06:00:00,BCA,2433.0
2026-08-18 07:00:00,BCA,2454.0
2026-08-18 08:00:00,BCA,2617.0
2026-08-18 09:00:00,BCA,2783.0
2026-08-18 10:00:00,BCA,2951.0
2026-08-18 11:00:00,BCA,3114.0
2026-08-18 12:00:00,BCA,3282.0
2026-08-18 13:00:00,BCA,3415.0
2026-08-18 14:00:00,BCA,3520.0
2026-08-18 15:00:00,BCA,3623.0
2026-08-18 16:00:00,BCA,3637.0
2026-08-18 17:00:00,BCA,3629.0
2026-08-18 18:00:00,BCA,3618.0
2026-08-18 19:00:00,BCA,3533.0
2026-08-18 20:00:00,BCA,3471.0
2026-08-18 21:00:00,BCA,3468.0
2026-08-18 22:00:00,BCA,3368.0
2026-08-18 00:00:00,BCS,614.0
2026-08-18 01:00:00,BCS,586.0
2026-08-18 02:00:00,BCS,543.0
2026-08-18 03:00:00,BCS,499.0
2026-08-18 04:00:00,BCS,486.0
2026-08-18 05:00:00,BCS,469.0
2026-08-18 06:00:00,BCS,452.0
2026-08-18 07:00:00,BCS,445.0
2026-08-18 08:00:00,BCS,456.0
2026-08-18 09:00:00,BCS,472.0
2026-08-18 10:00:00,BCS,487.0
2026-08-18 11:00:00,BCS,503.0
2026-08-18 12:00:00,BCS,517.0
2026-08-18 13:00:00,BCS,537.0
2026-08-18 14:00:00,BCS,559.0
2026-08-18 15:00:00,BCS,582.0
2026-08-18 16:00:00,BCS,590.0
2026-08-18 17:00:00,BCS,590.0
2026-08-18 18:00:00,BCS,579.0
2026-08-18 19:00:00,BCS,565.0
2026-08-18 20:00:00,BCS,575.0
2026-08-18 21:00:00,BCS,583.0
2026-08-18 22:00:00,BCS,586.0
2026-08-18 23:00:00,BCS,657.0
2026-08-18 00:00:00,SIN,45383.0
2026-08-18 01:00:00,SIN,43957.0
2026-08-18 02:00:00,SIN,42861.0
2026-08-18 03:00:00,SIN,41722.0
2026-08-18 04:00:00,SIN,41108.0
2026-08-18 05:00:00,SIN,40968.0
2026-08-18 06:00:00,SIN,40712.0
2026-08-18 07:00:00,SIN,41698.0
2026-08-18 08:00:00,SIN,42992.0
2026-08-18 09:00:00,SIN,44045.0
2026-08-18 10:00:00,SIN,44805.0
2026-08-18 11:00:00,SIN,45531.0
2026-08-18 12:00:00,SIN,46539.0
2026-08-18 13:00:00,SIN,47617.0
2026-08-18 14:00:00,SIN,48638.0
2026-08-18 15:00:00,SIN,50064.0
2026-08-18 16:00:00,SIN,51018.0
2026-08-18 17:00:00,SIN,51108.0
2026-08-18 18:00:00,SIN,50473.0
2026-08-18 19:00:00,SIN,51136.0
2026-08-18 20:00:00,SIN,51102.0
2026-08-18 21:00:00,SIN,50667.0
2026-08-18 22:00:00,SIN,49612.0
2026-08-18 23:00:00,SIN,48976.0
