snapshot,zona,demand_mw
2026-08-12 00:00:00,BCS,573.0
2026-08-12 01:00:00,BCS,549.0
2026-08-12 02:00:00,BCS,522.0
2026-08-12 03:00:00,BCS,499.0
2026-08-12 04:00:00,BCS,480.0
2026-08-12 05:00:00,BCS,463.0
2026-08-12 06:00:00,BCS,450.0
2026-08-12 07:00:00,BCS,439.0
2026-08-12 08:00:00,BCS,463.0
2026-08-12 09:00:00,BCS,498.0
2026-08-12 10:00:00,BCS,529.0
2026-08-12 11:00:00,BCS,553.0
2026-08-12 12:00:00,BCS,575.0
2026-08-12 13:00:00,BCS,598.0
2026-08-12 14:00:00,BCS,624.0
2026-08-12 15:00:00,BCS,647.0
2026-08-12 16:00:00,BCS,624.0
2026-08-12 17:00:00,BCS,625.0
2026-08-12 18:00:00,BCS,621.0
2026-08-12 19:00:00,BCS,609.0
2026-08-12 20:00:00,BCS,619.0
2026-08-12 21:00:00,BCS,631.0
2026-08-12 22:00:00,BCS,635.0
