snapshot,zona,demand_mw
2026-08-25 00:00:00,BCA,3109.0
2026-08-25 01:00:00,BCA,2898.0
2026-08-25 02:00:00,BCA,2774.0
2026-08-25 03:00:00,BCA,2657.0
2026-08-25 04:00:00,BCA,2564.0
2026-08-25 05:00:00,BCA,2521.0
2026-08-25 06:00:00,BCA,2492.0
2026-08-25 07:00:00,BCA,2522.0
2026-08-25 08:00:00,BCA,2710.0
2026-08-25 09:00:00,BCA,2912.0
2026-08-25 10:00:00,BCA,3114.0
2026-08-25 11:00:00,BCA,3314.0
2026-08-25 12:00:00,BCA,3479.0
2026-08-25 13:00:00,BCA,3604.0
2026-08-25 14:00:00,BCA,3674.0
2026-08-25 15:00:00,BCA,3685.0
2026-08-25 16:00:00,BCA,3741.0
2026-08-25 17:00:00,BCA,3747.0
2026-08-25 18:00:00,BCA,3678.0
2026-08-25 19:00:00,BCA,3597.0
2026-08-25 20:00:00,BCA,3587.0
2026-08-25 21:00:00,BCA,3562.0
2026-08-25 22:00:00,BCA,3479.0
2026-08-25 23:00:00,BCA,3346.0
2026-08-25 00:00:00,BCS,620.0
2026-08-25 01:00:00,BCS,595.0
2026-08-25 02:00:00,BCS,571.0
2026-08-25 03:00:00,BCS,547.0
2026-08-25 04:00:00,BCS,527.0
2026-08-25 05:00:00,BCS,509.0
2026-08-25 06:00:00,BCS,493.0
2026-08-25 07:00:00,BCS,482.0
2026-08-25 08:00:00,BCS,504.0
2026-08-25 09:00:00,BCS,540.0
2026-08-25 10:00:00,BCS,561.0
2026-08-25 11:00:00,BCS,503.0
2026-08-25 12:00:00,BCS,466.0
2026-08-25 13:00:00,BCS,477.0
2026-08-25 14:00:00,BCS,515.0
2026-08-25 15:00:00,BCS,545.0
2026-08-25 16:00:00,BCS,562.0
2026-08-25 17:00:00,BCS,567.0
2026-08-25 18:00:00,BCS,561.0
2026-08-25 19:00:00,BCS,550.0
2026-08-25 20:00:00,BCS,570.0
2026-08-25 21:00:00,BCS,576.0
2026-08-25 22:00:00,BCS,579.0
2026-08-25 23:00:00,BCS,661.0
2026-08-25 00:00:00,SIN,46556.0
2026-08-25 01:00:00,SIN,44897.0
2026-08-25 02:00:00,SIN,43455.0
2026-08-25 03:00:00,SIN,42600.0
2026-08-25 04:00:00,SIN,41837.0
2026-08-25 05:00:00,SIN,41540.0
2026-08-25 06:00:00,SIN,41638.0
2026-08-25 07:00:00,SIN,42449.0
2026-08-25 08:00:00,SIN,43894.0
2026-08-25 09:00:00,SIN,45107.0
2026-08-25 10:00:00,SIN,45873.0
2026-08-25 11:00:00,SIN,46838.0
2026-08-25 12:00:00,SIN,47682.0
2026-08-25 13:00:00,SIN,48621.0
2026-08-25 14:00:00,SIN,49834.0
2026-08-25 15:00:00,SIN,50878.0
2026-08-25 16:00:00,SIN,51700.0
2026-08-25 17:00:00,SIN,51664.0
2026-08-25 18:00:00,SIN,51422.0
2026-08-25 19:00:00,SIN,51904.0
2026-08-25 20:00:00,SIN,52072.0
2026-08-25 21:00:00,SIN,51742.0
2026-08-25 22:00:00,SIN,50751.0
