snapshot,zona,demand_mw
2026-04-11 00:00:00,BCA,1989.0
2026-04-11 01:00:00,BCA,1894.0
2026-04-11 02:00:00,BCA,1806.0
2026-04-11 03:00:00,BCA,1743.0
2026-04-11 04:00:00,BCA,1702.0
2026-04-11 05:00:00,BCA,1677.0
2026-04-11 06:00:00,BCA,1671.0
2026-04-11 07:00:00,BCA,1718.0
2026-04-11 08:00:00,BCA,1813.0
2026-04-11 09:00:00,BCA,1907.0
2026-04-11 10:00:00,BCA,1977.0
2026-04-11 11:00:00,BCA,2041.0
2026-04-11 12:00:00,BCA,2119.0
2026-04-11 13:00:00,BCA,2200.0
2026-04-11 14:00:00,BCA,2316.0
2026-04-11 15:00:00,BCA,2358.0
2026-04-11 16:00:00,BCA,2358.0
2026-04-11 17:00:00,BCA,2320.0
2026-04-11 18:00:00,BCA,2245.0
2026-04-11 19:00:00,BCA,2184.0
2026-04-11 20:00:00,BCA,2191.0
2026-04-11 21:00:00,BCA,2183.0
2026-04-11 22:00:00,BCA,2137.0
2026-04-11 23:00:00,BCA,2243.0
2026-04-11 00:00:00,BCS,380.0
2026-04-11 01:00:00,BCS,359.0
2026-04-11 02:00:00,BCS,339.0
2026-04-11 03:00:00,BCS,323.0
2026-04-11 04:00:00,BCS,311.0
2026-04-11 05:00:00,BCS,304.0
2026-04-11 06:00:00,BCS,305.0
2026-04-11 07:00:00,BCS,308.0
2026-04-11 08:00:00,BCS,330.0
2026-04-11 09:00:00,BCS,355.0
2026-04-11 10:00:00,BCS,378.0
2026-04-11 11:00:00,BCS,396.0
2026-04-11 12:00:00,BCS,411.0
2026-04-11 13:00:00,BCS,424.0
2026-04-11 14:00:00,BCS,436.0
2026-04-11 15:00:00,BCS,452.0
2026-04-11 16:00:00,BCS,465.0
2026-04-11 17:00:00,BCS,473.0
2026-04-11 18:00:00,BCS,467.0
2026-04-11 19:00:00,BCS,453.0
2026-04-11 20:00:00,BCS,451.0
2026-04-11 21:00:00,BCS,445.0
2026-04-11 22:00:00,BCS,434.0
2026-04-11 00:00:00,SIN,38695.0
2026-04-11 01:00:00,SIN,37226.0
2026-04-11 02:00:00,SIN,36375.0
2026-04-11 03:00:00,SIN,35823.0
2026-04-11 04:00:00,SIN,35581.0
2026-04-11 05:00:00,SIN,35636.0
2026-04-11 06:00:00,SIN,35909.0
2026-04-11 07:00:00,SIN,36715.0
2026-04-11 08:00:00,SIN,37848.0
2026-04-11 09:00:00,SIN,38578.0
2026-04-11 10:00:00,SIN,38866.0
2026-04-11 11:00:00,SIN,39687.0
2026-04-11 12:00:00,SIN,40057.0
2026-04-11 13:00:00,SIN,41115.0
2026-04-11 14:00:00,SIN,41645.0
2026-04-11 15:00:00,SIN,42153.0
2026-04-11 16:00:00,SIN,43024.0
2026-04-11 17:00:00,SIN,42831.0
2026-04-11 18:00:00,SIN,43089.0
2026-04-11 19:00:00,SIN,44316.0
2026-04-11 20:00:00,SIN,43748.0
2026-04-11 21:00:00,SIN,42668.0
2026-04-11 22:00:00,SIN,41898.0
2026-04-11 23:00:00,SIN,41794.0
