snapshot,zona,demand_mw
2026-04-09 00:00:00,BCA,1974.0
2026-04-09 01:00:00,BCA,1851.0
2026-04-09 02:00:00,BCA,1753.0
2026-04-09 03:00:00,BCA,1686.0
2026-04-09 04:00:00,BCA,1639.0
2026-04-09 05:00:00,BCA,1618.0
2026-04-09 06:00:00,BCA,1627.0
2026-04-09 07:00:00,BCA,1674.0
2026-04-09 08:00:00,BCA,1776.0
2026-04-09 09:00:00,BCA,1868.0
2026-04-09 10:00:00,BCA,1946.0
2026-04-09 11:00:00,BCA,2056.0
2026-04-09 12:00:00,BCA,2153.0
2026-04-09 13:00:00,BCA,2246.0
2026-04-09 14:00:00,BCA,2334.0
2026-04-09 15:00:00,BCA,2431.0
2026-04-09 16:00:00,BCA,2490.0
2026-04-09 17:00:00,BCA,2502.0
2026-04-09 18:00:00,BCA,2481.0
2026-04-09 19:00:00,BCA,2409.0
2026-04-09 20:00:00,BCA,2391.0
2026-04-09 21:00:00,BCA,2375.0
2026-04-09 22:00:00,BCA,2286.0
2026-04-09 23:00:00,BCA,2221.0
2026-04-09 00:00:00,BCS,406.0
2026-04-09 01:00:00,BCS,383.0
2026-04-09 02:00:00,BCS,359.0
2026-04-09 03:00:00,BCS,339.0
2026-04-09 04:00:00,BCS,324.0
2026-04-09 05:00:00,BCS,315.0
2026-04-09 06:00:00,BCS,315.0
2026-04-09 07:00:00,BCS,317.0
2026-04-09 08:00:00,BCS,335.0
2026-04-09 09:00:00,BCS,356.0
2026-04-09 10:00:00,BCS,380.0
2026-04-09 11:00:00,BCS,399.0
2026-04-09 12:00:00,BCS,411.0
2026-04-09 13:00:00,BCS,426.0
2026-04-09 14:00:00,BCS,441.0
2026-04-09 15:00:00,BCS,459.0
2026-04-09 16:00:00,BCS,468.0
2026-04-09 17:00:00,BCS,469.0
2026-04-09 18:00:00,BCS,460.0
2026-04-09 19:00:00,BCS,447.0
2026-04-09 20:00:00,BCS,445.0
2026-04-09 21:00:00,BCS,436.0
2026-04-09 22:00:00,BCS,423.0
2026-04-09 23:00:00,BCS,452.0
2026-04-09 00:00:00,SIN,37867.0
2026-04-09 01:00:00,SIN,36668.0
2026-04-09 02:00:00,SIN,35531.0
2026-04-09 03:00:00,SIN,35169.0
2026-04-09 04:00:00,SIN,34774.0
2026-04-09 05:00:00,SIN,35019.0
2026-04-09 06:00:00,SIN,35399.0
2026-04-09 07:00:00,SIN,36008.0
2026-04-09 08:00:00,SIN,37433.0
2026-04-09 09:00:00,SIN,38236.0
2026-04-09 10:00:00,SIN,38738.0
2026-04-09 11:00:00,SIN,39194.0
2026-04-09 12:00:00,SIN,39696.0
2026-04-09 13:00:00,SIN,40364.0
2026-04-09 14:00:00,SIN,41005.0
2026-04-09 15:00:00,SIN,41857.0
2026-04-09 16:00:00,SIN,42367.0
2026-04-09 17:00:00,SIN,42709.0
2026-04-09 18:00:00,SIN,42911.0
2026-04-09 19:00:00,SIN,43998.0
2026-04-09 20:00:00,SIN,43439.0
2026-04-09 21:00:00,SIN,42738.0
2026-04-09 22:00:00,SIN,41589.0
2026-04-09 23:00:00,SIN,40803.0
