snapshot,zona,demand_mw
2026-08-17 00:00:00,BCA,2638.0
2026-08-17 01:00:00,BCA,2521.0
2026-08-17 02:00:00,BCA,2416.0
2026-08-17 03:00:00,BCA,2334.0
2026-08-17 04:00:00,BCA,2281.0
2026-08-17 05:00:00,BCA,2250.0
2026-08-17 06:00:00,BCA,2245.0
2026-08-17 07:00:00,BCA,2301.0
2026-08-17 08:00:00,BCA,2499.0
2026-08-17 09:00:00,BCA,2705.0
2026-08-17 10:00:00,BCA,2865.0
2026-08-17 11:00:00,BCA,3033.0
2026-08-17 12:00:00,BCA,3176.0
2026-08-17 13:00:00,BCA,3318.0
2026-08-17 14:00:00,BCA,3432.0
2026-08-17 15:00:00,BCA,3518.0
2026-08-17 16:00:00,BCA,3569.0
2026-08-17 17:00:00,BCA,3583.0
2026-08-17 18:00:00,BCA,3529.0
2026-08-17 19:00:00,BCA,3476.0
2026-08-17 20:00:00,BCA,3424.0
2026-08-17 21:00:00,BCA,3395.0
2026-08-17 22:00:00,BCA,3263.0
2026-08-17 23:00:00,BCA,2922.0
2026-08-17 00:00:00,BCS,638.0
2026-08-17 01:00:00,BCS,618.0
2026-08-17 02:00:00,BCS,593.0
2026-08-17 03:00:00,BCS,576.0
2026-08-17 04:00:00,BCS,560.0
2026-08-17 05:00:00,BCS,542.0
2026-08-17 06:00:00,BCS,524.0
2026-08-17 07:00:00,BCS,508.0
2026-08-17 08:00:00,BCS,530.0
2026-08-17 09:00:00,BCS,568.0
2026-08-17 10:00:00,BCS,606.0
2026-08-17 11:00:00,BCS,631.0
2026-08-17 12:00:00,BCS,654.0
2026-08-17 13:00:00,BCS,679.0
2026-08-17 14:00:00,BCS,702.0
2026-08-17 15:00:00,BCS,720.0
2026-08-17 16:00:00,BCS,677.0
2026-08-17 17:00:00,BCS,688.0
2026-08-17 18:00:00,BCS,670.0
2026-08-17 19:00:00,BCS,660.0
2026-08-17 20:00:00,BCS,687.0
2026-08-17 21:00:00,BCS,670.0
2026-08-17 22:00:00,BCS,657.0
2026-08-17 23:00:00,BCS,674.0
2026-08-17 00:00:00,SIN,43515.0
2026-08-17 01:00:00,SIN,42059.0
2026-08-17 02:00:00,SIN,40871.0
2026-08-17 03:00:00,SIN,40015.0
2026-08-17 04:00:00,SIN,39400.0
2026-08-17 05:00:00,SIN,39108.0
2026-08-17 06:00:00,SIN,39626.0
2026-08-17 07:00:00,SIN,40997.0
2026-08-17 08:00:00,SIN,42874.0
2026-08-17 09:00:00,SIN,44110.0
2026-08-17 10:00:00,SIN,44926.0
2026-08-17 11:00:00,SIN,45883.0
2026-08-17 12:00:00,SIN,46977.0
2026-08-17 13:00:00,SIN,48210.0
2026-08-17 14:00:00,SIN,49142.0
2026-08-17 15:00:00,SIN,50032.0
2026-08-17 16:00:00,SIN,50457.0
2026-08-17 17:00:00,SIN,50619.0
2026-08-17 18:00:00,SIN,49969.0
2026-08-17 19:00:00,SIN,50521.0
2026-08-17 20:00:00,SIN,50489.0
2026-08-17 21:00:00,SIN,49989.0
2026-08-17 22:00:00,SIN,48976.0
