snapshot,zona,demand_mw
2026-08-27 00:00:00,BCA,3061.0
2026-08-27 01:00:00,BCA,2908.0
2026-08-27 02:00:00,BCA,2787.0
2026-08-27 03:00:00,BCA,2680.0
2026-08-27 04:00:00,BCA,2600.0
2026-08-27 05:00:00,BCA,2543.0
2026-08-27 06:00:00,BCA,2520.0
2026-08-27 07:00:00,BCA,2547.0
2026-08-27 08:00:00,BCA,2733.0
2026-08-27 09:00:00,BCA,2960.0
2026-08-27 23:00:00,BCA,3391.0
2026-08-27 00:00:00,BCS,616.0
2026-08-27 01:00:00,BCS,591.0
2026-08-27 02:00:00,BCS,565.0
2026-08-27 03:00:00,BCS,539.0
2026-08-27 04:00:00,BCS,518.0
2026-08-27 05:00:00,BCS,500.0
2026-08-27 06:00:00,BCS,482.0
2026-08-27 07:00:00,BCS,468.0
2026-08-27 08:00:00,BCS,491.0
2026-08-27 09:00:00,BCS,526.0
2026-08-27 23:00:00,BCS,654.0
2026-08-27 00:00:00,SIN,47777.0
2026-08-27 01:00:00,SIN,45856.0
2026-08-27 02:00:00,SIN,44531.0
2026-08-27 03:00:00,SIN,43520.0
2026-08-27 04:00:00,SIN,42632.0
2026-08-27 05:00:00,SIN,42389.0
2026-08-27 06:00:00,SIN,42384.0
2026-08-27 07:00:00,SIN,43084.0
2026-08-27 08:00:00,SIN,44864.0
2026-08-27 09:00:00,SIN,45742.0
2026-08-27 23:00:00,SIN,51084.0
