snapshot,zona,demand_mw
2026-04-25 00:00:00,BCA,1825.0
2026-04-25 01:00:00,BCA,1717.0
2026-04-25 02:00:00,BCA,1640.0
2026-04-25 03:00:00,BCA,1588.0
2026-04-25 04:00:00,BCA,1542.0
2026-04-25 05:00:00,BCA,1535.0
2026-04-25 06:00:00,BCA,1558.0
2026-04-25 07:00:00,BCA,1602.0
2026-04-25 08:00:00,BCA,1700.0
2026-04-25 09:00:00,BCA,1759.0
2026-04-25 10:00:00,BCA,1796.0
2026-04-25 11:00:00,BCA,1861.0
2026-04-25 12:00:00,BCA,1922.0
2026-04-25 13:00:00,BCA,1979.0
2026-04-25 14:00:00,BCA,2049.0
2026-04-25 15:00:00,BCA,2136.0
2026-04-25 16:00:00,BCA,2170.0
2026-04-25 17:00:00,BCA,2177.0
2026-04-25 18:00:00,BCA,2140.0
2026-04-25 19:00:00,BCA,2076.0
2026-04-25 20:00:00,BCA,2073.0
2026-04-25 21:00:00,BCA,2067.0
2026-04-25 22:00:00,BCA,1994.0
2026-04-25 00:00:00,BCS,385.0
2026-04-25 01:00:00,BCS,361.0
2026-04-25 02:00:00,BCS,339.0
2026-04-25 03:00:00,BCS,321.0
2026-04-25 04:00:00,BCS,308.0
2026-04-25 05:00:00,BCS,302.0
2026-04-25 06:00:00,BCS,304.0
2026-04-25 07:00:00,BCS,310.0
2026-04-25 08:00:00,BCS,330.0
2026-04-25 09:00:00,BCS,353.0
2026-04-25 10:00:00,BCS,376.0
2026-04-25 11:00:00,BCS,394.0
2026-04-25 12:00:00,BCS,408.0
2026-04-25 13:00:00,BCS,419.0
2026-04-25 14:00:00,BCS,428.0
2026-04-25 15:00:00,BCS,443.0
2026-04-25 16:00:00,BCS,459.0
2026-04-25 17:00:00,BCS,467.0
2026-04-25 18:00:00,BCS,463.0
2026-04-25 19:00:00,BCS,445.0
2026-04-25 20:00:00,BCS,445.0
2026-04-25 21:00:00,BCS,435.0
2026-04-25 22:00:00,BCS,424.0
2026-04-25 23:00:00,BCS,432.0
2026-04-25 00:00:00,SIN,41723.0
2026-04-25 01:00:00,SIN,40182.0
2026-04-25 02:00:00,SIN,38994.0
2026-04-25 03:00:00,SIN,38342.0
2026-04-25 04:00:00,SIN,37812.0
2026-04-25 05:00:00,SIN,38004.0
2026-04-25 06:00:00,SIN,38086.0
2026-04-25 07:00:00,SIN,38915.0
2026-04-25 08:00:00,SIN,40305.0
2026-04-25 09:00:00,SIN,40913.0
2026-04-25 10:00:00,SIN,41287.0
2026-04-25 11:00:00,SIN,41756.0
2026-04-25 12:00:00,SIN,42550.0
2026-04-25 13:00:00,SIN,43416.0
2026-04-25 14:00:00,SIN,44314.0
2026-04-25 15:00:00,SIN,45580.0
2026-04-25 16:00:00,SIN,46344.0
2026-04-25 17:00:00,SIN,46812.0
2026-04-25 18:00:00,SIN,46494.0
2026-04-25 19:00:00,SIN,47357.0
2026-04-25 20:00:00,SIN,47138.0
2026-04-25 21:00:00,SIN,46441.0
2026-04-25 22:00:00,SIN,45707.0
