snapshot,zona,demand_mw
2026-07-06 00:00:00,SIN,43990.0
2026-07-06 01:00:00,SIN,42462.0
2026-07-06 02:00:00,SIN,41086.0
2026-07-06 03:00:00,SIN,39728.0
2026-07-06 04:00:00,SIN,38802.0
2026-07-06 05:00:00,SIN,37943.0
2026-07-06 06:00:00,SIN,36695.0
2026-07-06 07:00:00,SIN,36408.0
2026-07-06 08:00:00,SIN,36592.0
2026-07-06 09:00:00,SIN,36870.0
2026-07-06 10:00:00,SIN,37414.0
2026-07-06 11:00:00,SIN,38110.0
2026-07-06 12:00:00,SIN,39034.0
2026-07-06 13:00:00,SIN,40299.0
2026-07-06 14:00:00,SIN,41671.0
2026-07-06 15:00:00,SIN,42375.0
2026-07-06 16:00:00,SIN,43010.0
2026-07-06 17:00:00,SIN,43392.0
2026-07-06 18:00:00,SIN,43629.0
2026-07-06 19:00:00,SIN,44237.0
2026-07-06 20:00:00,SIN,44483.0
2026-07-06 21:00:00,SIN,44597.0
2026-07-06 22:00:00,SIN,44734.0
2026-07-06 23:00:00,SIN,47130.0
