snapshot,zona,demand_mw
2026-03-13 00:00:00,BCA,1407.39
2026-03-13 01:00:00,BCA,1351.22
2026-03-13 02:00:00,BCA,1317.5
2026-03-13 03:00:00,BCA,1306.78
2026-03-13 04:00:00,BCA,1318.38
2026-03-13 05:00:00,BCA,1370.05
2026-03-13 06:00:00,BCA,1457.14
2026-03-13 07:00:00,BCA,1533.94
2026-03-13 08:00:00,BCA,1572.45
2026-03-13 09:00:00,BCA,1593.53
2026-03-13 10:00:00,BCA,1613.66
2026-03-13 11:00:00,BCA,1628.68
2026-03-13 12:00:00,BCA,1645.31
2026-03-13 13:00:00,BCA,1658.14
2026-03-13 14:00:00,BCA,1668.19
2026-03-13 15:00:00,BCA,1664.52
2026-03-13 16:00:00,BCA,1666.61
2026-03-13 17:00:00,BCA,1701.01
2026-03-13 18:00:00,BCA,1717.47
2026-03-13 19:00:00,BCA,1702.54
2026-03-13 20:00:00,BCA,1676.75
2026-03-13 21:00:00,BCA,1637.57
2026-03-13 22:00:00,BCA,1558.3
2026-03-13 23:00:00,BCA,1470.98
2026-03-13 00:00:00,BCS,281.3
2026-03-13 01:00:00,BCS,269.69
2026-03-13 02:00:00,BCS,259.83
2026-03-13 03:00:00,BCS,255.08
2026-03-13 04:00:00,BCS,255.12
2026-03-13 05:00:00,BCS,266.28
2026-03-13 06:00:00,BCS,283.75
2026-03-13 07:00:00,BCS,300.47
2026-03-13 08:00:00,BCS,317.27
2026-03-13 09:00:00,BCS,332.01
2026-03-13 10:00:00,BCS,342.35
2026-03-13 11:00:00,BCS,349.58
2026-03-13 12:00:00,BCS,354.31
2026-03-13 13:00:00,BCS,358.94
2026-03-13 14:00:00,BCS,364.03
2026-03-13 15:00:00,BCS,367.57
2026-03-13 16:00:00,BCS,369.59
2026-03-13 17:00:00,BCS,367.63
2026-03-13 18:00:00,BCS,375.79
2026-03-13 19:00:00,BCS,372.91
2026-03-13 20:00:00,BCS,362.14
2026-03-13 21:00:00,BCS,347.6
2026-03-13 22:00:00,BCS,324.72
2026-03-13 23:00:00,BCS,299.91
2026-03-13 00:00:00,SIN,32797.84
2026-03-13 01:00:00,SIN,31545.05
2026-03-13 02:00:00,SIN,30759.68
2026-03-13 03:00:00,SIN,30316.76
2026-03-13 04:00:00,SIN,30261.87
2026-03-13 05:00:00,SIN,30857.6
2026-03-13 06:00:00,SIN,32235.13
2026-03-13 07:00:00,SIN,33471.3
2026-03-13 08:00:00,SIN,34401.84
2026-03-13 09:00:00,SIN,34824.35
2026-03-13 10:00:00,SIN,34826.2
2026-03-13 11:00:00,SIN,34839.15
2026-03-13 12:00:00,SIN,35072.15
2026-03-13 13:00:00,SIN,35338.29
2026-03-13 14:00:00,SIN,35776.46
2026-03-13 15:00:00,SIN,36532.99
2026-03-13 16:00:00,SIN,37166.98
2026-03-13 17:00:00,SIN,37297.07
2026-03-13 18:00:00,SIN,37950.19
2026-03-13 19:00:00,SIN,38805.06
2026-03-13 20:00:00,SIN,38381.36
2026-03-13 21:00:00,SIN,37435.35
2026-03-13 22:00:00,SIN,36360.11
2026-03-13 23:00:00,SIN,35045.84
