snapshot,zona,demand_mw
2026-08-29 00:00:00,BCA,3018.0
2026-08-29 01:00:00,BCA,2805.0
2026-08-29 02:00:00,BCA,2644.0
2026-08-29 03:00:00,BCA,2536.0
2026-08-29 04:00:00,BCA,2390.0
2026-08-29 00:00:00,BCS,643.0
2026-08-29 01:00:00,BCS,624.0
2026-08-29 02:00:00,BCS,601.0
2026-08-29 03:00:00,BCS,575.0
2026-08-29 04:00:00,BCS,555.0
2026-08-29 23:00:00,BCS,676.0
2026-08-29 00:00:00,SIN,47658.0
2026-08-29 01:00:00,SIN,45921.0
2026-08-29 02:00:00,SIN,44336.0
2026-08-29 03:00:00,SIN,43208.0
2026-08-29 04:00:00,SIN,42421.0
