snapshot,zona,demand_mw
2026-08-10 00:00:00,BCA,2924.0
2026-08-10 01:00:00,BCA,2793.0
2026-08-10 02:00:00,BCA,2675.0
2026-08-10 03:00:00,BCA,2588.0
2026-08-10 04:00:00,BCA,2525.0
2026-08-10 05:00:00,BCA,2464.0
2026-08-10 06:00:00,BCA,2410.0
2026-08-10 07:00:00,BCA,2353.0
2026-08-10 08:00:00,BCA,2425.0
2026-08-10 09:00:00,BCA,2541.0
2026-08-10 10:00:00,BCA,2687.0
2026-08-10 11:00:00,BCA,2834.0
2026-08-10 12:00:00,BCA,2969.0
2026-08-10 13:00:00,BCA,3084.0
2026-08-10 14:00:00,BCA,3180.0
2026-08-10 15:00:00,BCA,3243.0
2026-08-10 16:00:00,BCA,3282.0
2026-08-10 17:00:00,BCA,3301.0
2026-08-10 18:00:00,BCA,3273.0
2026-08-10 19:00:00,BCA,3204.0
2026-08-10 20:00:00,BCA,3147.0
2026-08-10 21:00:00,BCA,3143.0
2026-08-10 22:00:00,BCA,3059.0
2026-08-10 00:00:00,BCS,570.0
2026-08-10 01:00:00,BCS,551.0
2026-08-10 02:00:00,BCS,531.0
2026-08-10 03:00:00,BCS,513.0
2026-08-10 04:00:00,BCS,497.0
2026-08-10 05:00:00,BCS,482.0
2026-08-10 06:00:00,BCS,467.0
2026-08-10 07:00:00,BCS,454.0
2026-08-10 08:00:00,BCS,471.0
2026-08-10 09:00:00,BCS,495.0
2026-08-10 10:00:00,BCS,519.0
2026-08-10 11:00:00,BCS,538.0
2026-08-10 12:00:00,BCS,558.0
2026-08-10 13:00:00,BCS,578.0
2026-08-10 14:00:00,BCS,603.0
2026-08-10 15:00:00,BCS,604.0
2026-08-10 16:00:00,BCS,564.0
2026-08-10 17:00:00,BCS,561.0
2026-08-10 18:00:00,BCS,562.0
2026-08-10 19:00:00,BCS,553.0
2026-08-10 20:00:00,BCS,568.0
2026-08-10 21:00:00,BCS,583.0
2026-08-10 22:00:00,BCS,588.0
2026-08-10 00:00:00,SIN,42015.0
2026-08-10 01:00:00,SIN,40574.0
2026-08-10 02:00:00,SIN,39268.0
2026-08-10 03:00:00,SIN,38307.0
2026-08-10 04:00:00,SIN,37405.0
2026-08-10 05:00:00,SIN,36756.0
2026-08-10 06:00:00,SIN,35546.0
2026-08-10 07:00:00,SIN,35337.0
2026-08-10 08:00:00,SIN,35426.0
2026-08-10 09:00:00,SIN,35876.0
2026-08-10 10:00:00,SIN,36430.0
2026-08-10 11:00:00,SIN,36879.0
2026-08-10 12:00:00,SIN,37961.0
2026-08-10 13:00:00,SIN,39095.0
2026-08-10 14:00:00,SIN,40117.0
2026-08-10 15:00:00,SIN,41084.0
2026-08-10 16:00:00,SIN,41837.0
2026-08-10 17:00:00,SIN,42380.0
2026-08-10 18:00:00,SIN,42763.0
2026-08-10 19:00:00,SIN,44609.0
2026-08-10 20:00:00,SIN,45485.0
2026-08-10 21:00:00,SIN,45546.0
2026-08-10 22:00:00,SIN,44607.0
