snapshot,zona,demand_mw
2026-02-26 00:00:00,BCA,1410.42
2026-02-26 01:00:00,BCA,1367.05
2026-02-26 02:00:00,BCA,1333.03
2026-02-26 03:00:00,BCA,1317.86
2026-02-26 04:00:00,BCA,1329.69
2026-02-26 05:00:00,BCA,1376.57
2026-02-26 06:00:00,BCA,1465.25
2026-02-26 07:00:00,BCA,1534.57
2026-02-26 08:00:00,BCA,1572.76
2026-02-26 09:00:00,BCA,1591.41
2026-02-26 10:00:00,BCA,1612.9
2026-02-26 11:00:00,BCA,1632.48
2026-02-26 12:00:00,BCA,1638.84
2026-02-26 13:00:00,BCA,1659.21
2026-02-26 14:00:00,BCA,1667.43
2026-02-26 15:00:00,BCA,1669.09
2026-02-26 16:00:00,BCA,1672.91
2026-02-26 17:00:00,BCA,1726.31
2026-02-26 18:00:00,BCA,1742.76
2026-02-26 19:00:00,BCA,1732.21
2026-02-26 20:00:00,BCA,1710.24
2026-02-26 21:00:00,BCA,1653.94
2026-02-26 22:00:00,BCA,1566.71
2026-02-26 23:00:00,BCA,1475.86
2026-02-26 00:00:00,BCS,278.88
2026-02-26 01:00:00,BCS,268.17
2026-02-26 02:00:00,BCS,258.22
2026-02-26 03:00:00,BCS,253.56
2026-02-26 04:00:00,BCS,253.37
2026-02-26 05:00:00,BCS,264.25
2026-02-26 06:00:00,BCS,280.95
2026-02-26 07:00:00,BCS,293.78
2026-02-26 08:00:00,BCS,307.95
2026-02-26 09:00:00,BCS,321.45
2026-02-26 10:00:00,BCS,331.49
2026-02-26 11:00:00,BCS,338.0
2026-02-26 12:00:00,BCS,342.81
2026-02-26 13:00:00,BCS,346.91
2026-02-26 14:00:00,BCS,351.96
2026-02-26 15:00:00,BCS,356.68
2026-02-26 16:00:00,BCS,360.65
2026-02-26 17:00:00,BCS,358.91
2026-02-26 18:00:00,BCS,367.69
2026-02-26 19:00:00,BCS,366.49
2026-02-26 20:00:00,BCS,356.63
2026-02-26 21:00:00,BCS,342.6
2026-02-26 22:00:00,BCS,320.76
2026-02-26 23:00:00,BCS,296.49
2026-02-26 00:00:00,SIN,4671.43
2026-02-26 01:00:00,SIN,4505.26
2026-02-26 02:00:00,SIN,4395.59
2026-02-26 03:00:00,SIN,4331.6
2026-02-26 04:00:00,SIN,4327.25
2026-02-26 05:00:00,SIN,4407.55
2026-02-26 06:00:00,SIN,4578.23
2026-02-26 07:00:00,SIN,4736.68
2026-02-26 08:00:00,SIN,4841.59
2026-02-26 09:00:00,SIN,4883.11
2026-02-26 10:00:00,SIN,4860.59
2026-02-26 11:00:00,SIN,4860.37
2026-02-26 12:00:00,SIN,4868.54
2026-02-26 13:00:00,SIN,4893.02
2026-02-26 14:00:00,SIN,4953.87
2026-02-26 15:00:00,SIN,5051.32
2026-02-26 16:00:00,SIN,5164.51
2026-02-26 17:00:00,SIN,5221.72
2026-02-26 18:00:00,SIN,5333.4
2026-02-26 19:00:00,SIN,5485.78
2026-02-26 20:00:00,SIN,5441.0
2026-02-26 21:00:00,SIN,5315.23
2026-02-26 22:00:00,SIN,5136.54
2026-02-26 23:00:00,SIN,4921.37
