snapshot,zona,demand_mw
2026-04-05 00:00:00,BCA,1461.0
2026-04-05 01:00:00,BCA,1389.0
2026-04-05 02:00:00,BCA,1330.0
2026-04-05 03:00:00,BCA,1287.0
2026-04-05 04:00:00,BCA,1258.0
2026-04-05 05:00:00,BCA,1245.0
2026-04-05 06:00:00,BCA,1247.0
2026-04-05 07:00:00,BCA,1245.0
2026-04-05 08:00:00,BCA,1272.0
2026-04-05 09:00:00,BCA,1326.0
2026-04-05 10:00:00,BCA,1380.0
2026-04-05 11:00:00,BCA,1442.0
2026-04-05 12:00:00,BCA,1501.0
2026-04-05 13:00:00,BCA,1557.0
2026-04-05 14:00:00,BCA,1612.0
2026-04-05 15:00:00,BCA,1658.0
2026-04-05 16:00:00,BCA,1693.0
2026-04-05 17:00:00,BCA,1728.0
2026-04-05 18:00:00,BCA,1735.0
2026-04-05 19:00:00,BCA,1716.0
2026-04-05 20:00:00,BCA,1729.0
2026-04-05 21:00:00,BCA,1718.0
2026-04-05 22:00:00,BCA,1660.0
2026-04-05 23:00:00,BCA,1617.0
2026-04-05 00:00:00,BCS,358.0
2026-04-05 01:00:00,BCS,339.0
2026-04-05 02:00:00,BCS,320.0
2026-04-05 03:00:00,BCS,306.0
2026-04-05 04:00:00,BCS,298.0
2026-04-05 05:00:00,BCS,292.0
2026-04-05 06:00:00,BCS,293.0
2026-04-05 07:00:00,BCS,294.0
2026-04-05 08:00:00,BCS,312.0
2026-04-05 09:00:00,BCS,335.0
2026-04-05 10:00:00,BCS,353.0
2026-04-05 11:00:00,BCS,363.0
2026-04-05 12:00:00,BCS,370.0
2026-04-05 13:00:00,BCS,378.0
2026-04-05 14:00:00,BCS,388.0
2026-04-05 15:00:00,BCS,396.0
2026-04-05 16:00:00,BCS,405.0
2026-04-05 17:00:00,BCS,413.0
2026-04-05 18:00:00,BCS,411.0
2026-04-05 19:00:00,BCS,406.0
2026-04-05 20:00:00,BCS,410.0
2026-04-05 21:00:00,BCS,405.0
2026-04-05 22:00:00,BCS,396.0
2026-04-05 23:00:00,BCS,398.0
2026-04-05 00:00:00,SIN,34664.0
2026-04-05 01:00:00,SIN,33650.0
2026-04-05 02:00:00,SIN,32452.0
2026-04-05 03:00:00,SIN,31706.0
2026-04-05 04:00:00,SIN,31259.0
2026-04-05 05:00:00,SIN,30915.0
2026-04-05 06:00:00,SIN,30846.0
2026-04-05 07:00:00,SIN,30786.0
2026-04-05 08:00:00,SIN,31358.0
2026-04-05 09:00:00,SIN,31813.0
2026-04-05 10:00:00,SIN,32051.0
2026-04-05 11:00:00,SIN,32743.0
2026-04-05 12:00:00,SIN,32872.0
2026-04-05 13:00:00,SIN,33706.0
2026-04-05 14:00:00,SIN,34169.0
2026-04-05 15:00:00,SIN,35316.0
2026-04-05 16:00:00,SIN,35990.0
2026-04-05 17:00:00,SIN,36550.0
2026-04-05 18:00:00,SIN,37437.0
2026-04-05 19:00:00,SIN,38766.0
2026-04-05 20:00:00,SIN,38566.0
2026-04-05 21:00:00,SIN,37859.0
2026-04-05 22:00:00,SIN,37062.0
